mr,ref
"name[name_x], food[food_x], familyFriendly[no]",name_x is a food_x takeout which is not familyFriendly_x.
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes]",The food_x eatType_x in area_x is called name_x. It is familyFriendly_x a customer rating of customer rating_x.
"name[name_x], eatType[eatType_x], food[food_x], familyFriendly[yes], near[near_x]",name_x is a familyFriendly_x serving food_x. It is located near near_x.
"name[name_x], eatType[eatType_x], food[food_x], area[area_x], familyFriendly[yes]","name_x is a eatType_x that serves food_x, located at the area_x and a familyFriendly_x."
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], familyFriendly[no]",priceRange_x eatType_x for expensive food_x food in a familyFriendly_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], near[near_x]",name_x is a eatType_x near near_x  situated by area_x food_x food of a priceRange_xer price range with an average customer rating of customer rating_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], area[area_x], near[near_x]",area_x has a priceRange_x end eatType_x near near_x including food_x at name_x.
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x], familyFriendly[yes]",Rated customer rating_x name_x food_x eatType_x familyFriendly_x
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[no]","name_x is a priceRange_x priced eatType_x that sells food_x food. It is located in the area_x, is familyFriendly_x and has customer rating_x rating."
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x]",The name_x eatType_x food_x the £20 per head mark. It has low ratings.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[no]","familyFriendly_x food_x a priceRange_x price. The food has been rated customer rating_x by customers and is located next to the area_x. Sorry, no kids allowed."
"name[name_x], eatType[eatType_x], food[food_x], area[area_x]","Treat yourself to name_x, A food_x eatType_x located on the area_x."
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x], near[near_x]",The eatType_x name_x is rated customer rating_x by customers. This food_x outlet is located near to near_x.
"name[name_x], eatType[eatType_x], food[food_x], familyFriendly[yes], near[near_x]","familyFriendly_x food_x eatType_x near near_x, try name_x."
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x]",name_x is an food_x eatType_x that priceRange_x.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], near[near_x]",customer rating_x by near_x. It's a good place and expensive but it's really food_x.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[yes], near[near_x]",name_x is a familyFriendly_x food_x place with high ratings and priceRange_x prices near near_x.
"name[name_x], eatType[eatType_x], priceRange[priceRange_x], area[area_x], familyFriendly[yes], near[near_x]",In the area_x area there a priceRange_x prince range eatType_x called name_x near near_x that is familyFriendly_x
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[no], near[near_x]",In the area_x near near_x you will find name_x.  It offers food_x food priceRange_x  It has a customer rating_x customer rating and is not familyFriendly_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[yes], near[near_x]",near_x priceRange_x price range is name_x. An customer rating_x rated familyFriendly_x.
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x], familyFriendly[yes]","name_x familyFriendly_x food_x eatType_x, rated customer rating_x."
"name[name_x], food[food_x], customer rating[customer rating_x out of 5], area[area_x], familyFriendly[no], near[near_x]",name_x is near near_x in area_x. It is rated customer rating_x out of 5 but is familyFriendly_x They serve food_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[yes]","There is a familyFriendly_x  called in area_x, it's a food_x but it quite expensive,"
"name[name_x], food[food_x], area[area_x]","A food_x restaurant, name_x is located in the area_x."
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes]","name_x is a priceRange_x priced, familyFriendly_x located in area_x.  It serves food_x food and has a rating of customer rating_x."
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x]","For a food_x eatType_x with an average price of priceRange_x, try name_x."
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes]","An priceRange_x food_x restaurant, name_x is in the customer rating_x highly rated, familyFriendly_x place."
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x]",name_x is a food_x priceRange_x that has a customer rating_x customer rating.
"name[name_x], food[food_x], familyFriendly[yes], near[near_x]",name_x is familyFriendly_x and serves food_x near_x
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x out of 5], familyFriendly[yes], near[near_x]",The customer rating_x out of 5 rated name_x eatType_x is located near near_x. This shop serves food_x food in familyFriendly_x.
"name[name_x], eatType[eatType_x], food[food_x], familyFriendly[yes]",name_x is a food_x eatType_x that familyFriendly_x
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[no]",food_x for adults. It has a priceRange_x price range and a rating of customer rating_x. It is in area_x.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes], near[near_x]",name_x food_x located in the area_x by the near_x. It has a priceRange_x price range and a customer rating of customer rating_x.
"name[name_x], eatType[eatType_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes]","area_x has familyFriendly_x.  Price range priceRange_x, with a customer rating_x customer rating. It's called name_x."
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes], near[near_x]","near_x area_x is a customer rating_x cost, familyFriendly_x eatType_x."
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], familyFriendly[yes]",If you are looking for a familyFriendly_x  Type eatType_x then you might want to try name_x where they have food_x at a priceRange_x price range.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes], near[near_x]","name_x is a familyFriendly_x food_x food restaurant with a perfect rating and a price customer rating_x, it is located in the area_x near the near_x."
"name[name_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[no]",In the area_x there is a place called name_x that is not familyFriendly_x but has a price range priceRange_x a customer rating_x customer rating
"name[name_x], priceRange[priceRange_x], area[area_x], near[near_x]",name_x is in area_x near near_x with a priceRange_x price range.
"name[name_x], priceRange[priceRange_x], familyFriendly[yes], near[near_x]",name_x can be found close to near_x and are priceRange_x and more familyFriendly_x your children.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[yes]","name_x is a priceRange_x priced food_x restaurant, with a rating of customer rating_x and familyFriendly_x"
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes], near[near_x]",name_x is a area_x restaurant food_x near_x in the city centre which customer rating_x food at a low price.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[no]",food_x customer rating_x-priced restaurant in the area_x that is not familyFriendly_x
"name[name_x], food[food_x], priceRange[priceRange_x], area[area_x]",priceRange_x expensive food_x restaurant in the area_x called name_x.
"name[name_x], eatType[eatType_x], customer rating[customer rating_x], familyFriendly[yes], near[near_x]",name_x familyFriendly_x with a customer rating of customer rating_x. It is located near near_x.
"name[name_x], eatType[eatType_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[yes], near[near_x]",name_x is a eatType_x that has a priceRange_x price range. It is near near_x and familyFriendly_x The customer rating is customer rating_x.
"name[name_x], priceRange[priceRange_x], customer rating[customer rating_x out of 5], near[near_x]","A priceRange_x restaurant with a customer Rating of customer rating_x out of 5 is name_x, near to the near_x."
"name[name_x], food[food_x], priceRange[priceRange_x], familyFriendly[no]",name_x is a priceRange_xly priced food_x restaurant but is familyFriendly_x
"name[name_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[yes], near[near_x]","The name_x is familyFriendly_x, food_x restaurant with priceRange_x near near_x in the area_x area."
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes], near[near_x]","A customer rating_x customer rated food_x and eatType_x, name_x, is familyFriendly_x and is near_x area_x"
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x]",A priceRange_x priced eatType_x serving food_x with an customer rating_x customer rating is called name_x.
"name[name_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[no], near[near_x]",name_x near_x Inn is expensive with an average rating of customer rating_x.  It is familyFriendly_x
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[yes]","familyFriendly_x food_x eatType_x, priceRange_x a customer rating_x customers rating ."
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x out of 5], area[area_x], familyFriendly[yes]",On the area_x there food_x called name_x. It is rated customer rating_x out of 5 by its customers. It is great for families.
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x], familyFriendly[yes], near[near_x]","name_x is familyFriendly_x located near near_x. As well as being a coffee shop, The Cricketers also sells food_x food. It has an customer rating_x customer rating and is suitable for children."
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[yes]","There is a food_x, 3-star, familyFriendly_x eatType_x that customer rating_x sushi, called name_x."
"name[name_x], priceRange[priceRange_x], area[area_x], familyFriendly[yes]",familyFriendly_x welcomed at name_x. It's located along the river and prices are area_x.
"name[name_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[yes], near[near_x]",The name_x food_x area_x near near_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[no], near[near_x]","name_x, near near_x is an food_x eatType_x area_x range of priceRange_x, and was given a customer rating_x customer rating but is familyFriendly_x"
"name[name_x], food[food_x], customer rating[customer rating_x], familyFriendly[yes], near[near_x]",name_x near near_x has customer rating_x food_x is familyFriendly_x.
"name[name_x], eatType[eatType_x], food[food_x], area[area_x], near[near_x]","name_x, a eatType_x near near_x in the area_x area, serves food_x food."
"name[name_x], eatType[eatType_x], priceRange[priceRange_x], near[near_x]",name_x is a priceRange_x-priced eatType_x located by near_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x]",There is a customer rating_xly rated food_x eatType_x in the area_x area that cost more then priceRange_x.  It is named name_x.
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x], area[area_x], near[near_x]",name_x is a food_x restaurant and eatType_x with a customer rating_x customer rating near near_x in area_x.
"name[name_x], food[food_x], customer rating[customer rating_x out of 5], familyFriendly[no]",Although familyFriendly_x name_x which serves food_x cuisine has a customer rating of customer rating_x out of 5.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x out of 5]","name_x is a priceRange_x food_x place, rated customer rating_x out of 5."
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[yes], near[near_x]","name_x is a food_x restaurant located near the near_x that provides low quality food at priceRange_x prices, and customer rating_x."
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], near[near_x]",name_x is eatType_x that serves food_x food in the area_x area near near_x. Prices range from priceRange_x. It has a customer rating_x customer rating.
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x], familyFriendly[yes], near[near_x]","food_x eatType_x near near_x, name_x is child friendly and customer rating_xly rated."
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], familyFriendly[yes]",food_x eatType_x but with a priceRange_x price range is name_x.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[no]","name_x is a priceRange_x priced,food_x in the area_x area.  Customer reviews of the restaurant give it a customer rating_x.  This is not a  familyFriendly_x."
"name[name_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[yes], near[near_x]","A priceRange_x restaurant near near_x is name_x. It is located on the area_x, serves food_x food, and is familyFriendly_x."
"name[name_x], eatType[eatType_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes]",name_x is a priceRange_x price range eatType_x located along the area_x.  familyFriendly_x a customer rating_x rating.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[no]",name_x serves food_x food is priceRange_xly priced and familyFriendly_x rated customer rating_x stars.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], near[near_x]",food_x area_x in City centre. They have a three star rating. They are located near near_x.
"name[name_x], food[food_x], area[area_x], familyFriendly[yes]",In the area_x area food_x called name_x.
"name[name_x], eatType[eatType_x], customer rating[customer rating_x], familyFriendly[yes]",familyFriendly_x with a rating of customer rating_x would be name_x.
"name[name_x], food[food_x], customer rating[customer rating_x], familyFriendly[yes], near[near_x]",name_x can be found close to the near_x. It is a familyFriendly_x food_x restaurant. However it has a customer rating_x customer rating.
"name[name_x], eatType[eatType_x], priceRange[priceRange_x], area[area_x], familyFriendly[yes], near[near_x]",eatType_x Café meal in a familyFriendly_x setting try name_x. It is reasonably priced and family friendly. Located near near_x in the area_x area.
"name[name_x], eatType[eatType_x], priceRange[priceRange_x], customer rating[customer rating_x]",name_x is a eatType_x that serves food that is customer rating_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[no], near[near_x]",name_x eatType_x in the area_x provides priceRange_x food_x food and has achieved high customer satisfaction. It does not cater familyFriendly_x children. near_x is nearby.
"name[name_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[yes], near[near_x]",name_x by a area_x near near_x familyFriendly_x food_x food with a priceRange_x price Range.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[no]",name_x is a food_x eatType_x in area_x with a priceRange_x price range and it is not familyFriendly_x.
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x], familyFriendly[no]",food_x eatType_x name_x is customer rating_x and familyFriendly_x
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[no]","name_x is a customer rating_x rated, priceRange_x food_x food under £20 near the area_x."
"name[name_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[yes]",name_x food_x burger area_x.
"name[name_x], food[food_x], familyFriendly[yes]",name_x serves food_x food.  They familyFriendly_x
"name[name_x], food[food_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes]","Situated in area_x, name_x is an customer rating_xly rated food_x."
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x]","If you're in the mood for food_x, and looking to spend priceRange_x, then look no further than name_x eatType_x"
"name[name_x], food[food_x], customer rating[customer rating_x]",name_x serves food_x food and has a customer rating of customer rating_x.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], near[near_x]",in the area_x near near_x there is a food_x place called name_x with a customer rating_x customer rating that is priceRange_x
"name[name_x], priceRange[priceRange_x], area[area_x], familyFriendly[no]","To get away priceRange_x name_x, in the area_x. A meal there is upwards of £30"
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[yes]",customer rating_x familyFriendly_x eatType_x with middle of the road prices. They have a five star rating.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[yes], near[near_x]",The name_x serves priceRange_xly priced average food_x food in customer rating_x from the near_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[yes], near[near_x]",familyFriendly_x eatType_x that is 3 food_x customer rating_x near_x
"name[name_x], food[food_x], customer rating[customer rating_x out of 5], area[area_x], near[near_x]",There is an food_x  restaurant called name_x with a customer rating_x out of 5 customer rating and it's located in area_x near near_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes]",name_x is a eatType_x that serves food_x food for in a area_x price range. They have a customer rating of customer rating_x and familyFriendly_x
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], familyFriendly[yes], near[near_x]",name_x is a priceRange_x food_x restaurant. It provides a familyFriendly_x atmosphere. The food is eatType_x like. It is rear the near_x.
"name[name_x], food[food_x], customer rating[customer rating_x out of 5], near[near_x]","Located in the city center near to the near_x, The name_x is a customer rating_x star food_x restaurant."
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes]","area_x lies name_x, familyFriendly_x that serves food_x food. The price range is priceRange_x and the customer rating is customer rating_x."
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], near[near_x]",name_x is a five-food_x-priced priceRange_x cheese and customer rating_x opposite near_x in the city centre.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[no], near[near_x]","name_x is in the area_x, near_x It serves food_x food, is non-familyFriendly_x expensive and highly rated."
"name[name_x], priceRange[priceRange_x], near[near_x]","name_x  has a price range priceRange_x, and is near the near_x."
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes]","food_x area_x customer rating_x priced, familyFriendly_x and has a 1 star rating."
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x], area[area_x], familyFriendly[no]",name_x is a food_x eatType_x in familyFriendly_x located in the area_x with customer rating_x ratings.
"name[name_x], priceRange[priceRange_x], near[near_x]",name_x is a priceRange_x option just near near_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x]",name_x is an food_x just area_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[yes]","Serving food_x eatType_x. Though with a customer rating_x customer rating, Cocum is familyFriendly_x and the price range is under £20."
"name[name_x], food[food_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes], near[near_x]","food_x area_x area, near near_x, name_x is familyFriendly_x restaurant with customer rating_x customer ratings."
"name[name_x], food[food_x], area[area_x]",You can get food_x food in name_x in  area_x area.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x]",name_x is a food_x which is highly recommended.
"name[name_x], food[food_x], priceRange[priceRange_x]",name_x sells food_x food. its price range is priceRange_x.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x]",name_x provides food_x food in the priceRange_x price range. Its customer rating is customer rating_x.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[no]",name_x is a priceRange_x food_x food restaurant near the area_x. It has an customer rating_x customer rating and is not familyFriendly_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x out of 5], near[near_x]",There is a eatType_x called name_x near_x English food and wines in the low prices. It is located near food_x has customer rating_x out of 5 stars range.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[yes]",priceRange_x very customer rating_x food_x
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[yes], near[near_x]","name_x Sushi is a food_x priced, familyFriendly_x restaurant near the near_x."
"name[name_x], food[food_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes]",name_x has an customer rating_x rating and offers food_x cuisine area_x to eat outside of the City centre.
"name[name_x], food[food_x], customer rating[customer rating_x], area[area_x]",name_x is a food_x restaurant located at the area_x. The customer rating is customer rating_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[yes], near[near_x]",food_x familyFriendly_x located in area_x near near_x.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], near[near_x]",priceRange_x customer rating_x food_x serving pastas and wines located a short distance from near_x.
"name[name_x], food[food_x], customer rating[customer rating_x out of 5], near[near_x]",Near near_x is name_x. It is a customer rating_x star food_x food restaurant.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x]",name_x is an food_x eatType_x with a price range between twenty and twenty five euros.
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x out of 5], area[area_x], familyFriendly[no], near[near_x]",name_x is a eatType_x located near near_x in the area_x. It serves food_x and is familyFriendly_x but has a customer rating of customer rating_x out of 5.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[no]",eatType_x name_x can be found in the customer rating_x city. It provides food_x and its prices are priceRange_x. It has a low customer rating and is familyFriendly_x
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[no], near[near_x]","name_x is a very highly customer rating_x food_x.  It is located in area_x, near the near_x, and is familyFriendly_x"
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[yes], near[near_x]",Near the near_x in area_x with a price  Range priceRange_x familyFriendly_x is a food_x eatType_x called name_x
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[no]","There is an food_x restaurant located in the area_x, with a customer rating_x customer rating. It is called name_x and has a price range of priceRange_x but it is familyFriendly_x"
"name[name_x], food[food_x], familyFriendly[yes], near[near_x]",Near the near_x is name_x which serves food_x and is familyFriendly_x
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x]",priceRange_x is a low priced eatType_x that serves food_x food named name_x and it has the highest customer rating.
"name[name_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes]",name_x customer rating_x in the area_x and costs priceRange_x.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x]",name_x provides priceRange_x food_x food with an customer rating_x customer rating.
"name[name_x], priceRange[priceRange_x], area[area_x], near[near_x]",name_x has a priceRange_x price range and is located in area_x near near_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], near[near_x]",priceRange_x expensive food_x eatType_x near near_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[yes], near[near_x]",There food_x restaurant called name_x that is eatType_x near_x with area_x price takeaway menu items.
"name[name_x], food[food_x], customer rating[customer rating_x], area[area_x], familyFriendly[no], near[near_x]",name_x is not familyFriendly_x and is situated near near_x in the area_x. They serve food_x food and have an customer rating_x customer rating
"name[name_x], food[food_x], customer rating[customer rating_x], near[near_x]","The food_x restaurant called name_x, has a customer rating of customer rating_x and is close to near_x."
"name[name_x], food[food_x], priceRange[priceRange_x], area[area_x]",name_x is an expensive food_x priceRange_x on the area_x.
"name[name_x], food[food_x], priceRange[priceRange_x]",name_x is a food_x venue with an average price range of priceRange_x.
"name[name_x], food[food_x], customer rating[customer rating_x], familyFriendly[yes], near[near_x]",familyFriendly_x food_x food It is near near_x. Its customer rating is customer rating_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x]",name_x is a eatType_x with customer rating_x customer ratings and cheap priceRange_x in the city and they serve food_x.
"name[name_x], priceRange[priceRange_x], customer rating[customer rating_x]","name_x is a priceRange_x, customer rating_x venue."
"name[name_x], food[food_x], priceRange[priceRange_x], familyFriendly[yes], near[near_x]",name_x is a priceRange_x food_x joint located near near_x. It is familyFriendly_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes], near[near_x]","customer rating_x near_x, familyFriendly_x style food_x, low price, area_x is a good place for kids."
"name[name_x], food[food_x], customer rating[customer rating_x], area[area_x]","name_x, is area_x center. They customer rating_x and a star rating of 1 out of 5."
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x]",I food_x eatType_x priceRange_x
"name[name_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[no]","The name_x is cheap, medium rated and customer rating_x in the area_x."
"name[name_x], food[food_x], priceRange[priceRange_x], familyFriendly[yes], near[near_x]",name_x is a priceRange_x priced.  They serve food_x and are familyFriendly_x.  They are located near near_x.
"name[name_x], eatType[eatType_x], food[food_x], area[area_x], familyFriendly[no]",name_x is familyFriendly_x is a food_x eatType_x in the area_x.
"name[name_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[no], near[near_x]","The area_x is home of name_x near near_x. It has an customer rating_x customer rating and a price range priceRange_x, but is familyFriendly_x"
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[yes], near[near_x]","For a food_x eatType_x experience, try name_x, near near_x. While customers rate is as customer rating_x, it is familyFriendly_x with a price range of priceRange_x."
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x]",priceRange_x an urban pub that food_x quality food for middling  prices.
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x]",customer rating_x is one star eatType_x.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], near[near_x]","name_x is an food_x, area_x restaurant near_x cheese, wine, and soup."
"name[name_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[yes]",name_x serves area_x at good prices. food_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[yes]",name_x familyFriendly_x located in the area_x that serves food_x food for priceRange_x.
"name[name_x], food[food_x], priceRange[priceRange_x]",priceRange_x in spending a bit more on their meals should visit name_x for traditional food_x food.
"name[name_x], food[food_x], area[area_x], familyFriendly[yes], near[near_x]","For a familyFriendly_x restaurant a stone's throw away from near_x, you will want to try the food_x cuisine at name_x in the area_x area."
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes]",The eatType_x that serves food_x food and familyFriendly_x the area_x is name_x. The price range is priceRange_x and the customer rating is customer rating_x stars.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x]",name_x serves priceRange_xly priced food_x with a one star customer rating.
"name[name_x], eatType[eatType_x], priceRange[priceRange_x], customer rating[customer rating_x out of 5], familyFriendly[yes]",name_x is a eatType_x with a customer rating of customer rating_x out of 5.  They're familyFriendly_x have a price range of priceRange_x.
"name[name_x], food[food_x], priceRange[priceRange_x], familyFriendly[yes]",name_x is a priceRange_x and familyFriendly_x food_x restaurant.
"name[name_x], eatType[eatType_x], customer rating[customer rating_x], familyFriendly[no]",name_x is familyFriendly_x with a customer rating_x customer rating.
"name[name_x], priceRange[priceRange_x], customer rating[customer rating_x]",priceRange_x rating and an expensive price range.
"name[name_x], food[food_x], priceRange[priceRange_x]","There is a priceRange_x food_x named name_x,"
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x out of 5], near[near_x]",name_x is near near_x with a customer rating of customer rating_x out of 5.  It has a price range of priceRange_x and serves food_x food.
"name[name_x], food[food_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes]","name_x food_x has a customer rating of customer rating_x, it is in the area_x area with and it familyFriendly_x"
"name[name_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[no], near[near_x]",familyFriendly_x food_x food in the priceRange_x price range. It is located in the area_x. It is near near_x.
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x], near[near_x]",food_x eatType_x called name_x located near near_x and customer rating is customer rating_x
